rank,id,asset_id,attributes/0/traitType,attributes/0/value,attributes/0/percentage,attributes/1/traitType,attributes/1/value,attributes/1/percentage,attributes/2/traitType,attributes/2/value,attributes/2/percentage,attributes/3/traitType,attributes/3/value,attributes/3/percentage,attributes/4/traitType,attributes/4/value,attributes/4/percentage,attributes/5/traitType,attributes/5/value,attributes/5/percentage,attributes/6/traitType,attributes/6/value,attributes/6/percentage,attributes/7/traitType,attributes/7/value,attributes/7/percentage,attributes/8/traitType,attributes/8/value,attributes/8/percentage,score,attributes/9/traitType,attributes/9/value,attributes/9/percentage
7945,362,7950db0b21e55ea1b12f572ec76078f5,Attack,11,26.75,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,9,30.42,Energy Type,Helios,19.63,Handle,Charged,5.52,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,104.35504792066737,,,
2240,363,a55ef73cd95ef62cb5fd24350db7d568,Attack,11,26.75,Blade,Wolf Fang,1.11,Category,Bladed,50.00,Color Scheme,Scratched White Paint,5.66,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Handle,Bolstered,3.60,Pomel,Goldberg,9.00,Weapon Type,Knife,20.23,166.96884612313403,,,
2980,364,adf38f917de46e6686c7bf5632e9e4cf,Attack,10,28.78,Barrel,Brute - SMG,3.74,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Midnight Blue,6.35,Defense,10,22.66,Energy Type,AntiMatter,13.39,Grip,Arch,7.06,Stock,Torus,1.50,151.97316481796523,Weapon Type,SMG,15.81
3131,365,e06a63cf776939a9091f02942e35593a,Attack,8,2.94,Barrel,Warhawk - SMG,4.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched White Paint,5.66,Defense,8,22.62,Energy Type,HyperLight,20.07,Grip,Recurved,4.07,Stock,Marksman,3.64,149.6834785549367,Weapon Type,SMG,15.81
7156,366,4574efbcda55defbeefabb52b457bab0,Attack,11,26.75,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Hex Tile,3.90,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Encased,7.95,Pomel,Spiral,7.28,Weapon Type,Axe,13.57,110.1565164537988,,,
3641,367,9a283eb893fa2f655c32257b89ef9f41,Attack,10,28.78,Blade,Breaker,3.11,Category,Bladed,50.00,Color Scheme,Silver Panels,3.76,Defense,10,22.66,Energy Type,Helios,19.63,Handle,Bolstered,3.60,Pomel,Omni,2.85,Weapon Type,Sword,16.20,142.77036343269737,,,
9402,368,53d58b08d46206e1107fd1578e699c3b,Attack,10,28.78,Blade,Rose Thorn,3.05,Category,Bladed,50.00,Color Scheme,Rusty,5.91,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Handle,Caged,7.89,Pomel,Goldberg,9.00,Weapon Type,Knife,20.23,94.68463689738141,,,
5318,369,54347b381312bf021fe0bc34b77bb350,Attack,10,28.78,Barrel,Ironside - SMG,3.94,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Luminescent,3.61,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Grip,Recurved,4.07,Stock,Circut,5.08,124.88558249809668,Weapon Type,SMG,15.81
1658,370,e946b8869b118b0be29ca62e09279511,Attack,12,16.48,Blade,Broad Sword,1.49,Category,Bladed,50.00,Color Scheme,Gold Plated,2.22,Defense,12,4.18,Energy Type,Valorite,10.09,Handle,Encased,7.95,Pomel,Icosa,8.33,Weapon Type,Sword,16.20,184.8176057000689,,,
4353,371,7a9691cda91c15db7d1801cb41c24386,Attack,11,26.75,Barrel,Ironside - Rifle,2.31,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Army Green,5.81,Defense,7,7.57,Energy Type,HyperLight - Focused,15.74,Grip,Carved,6.94,Stock,Fixed Hollow,5.03,134.86272606904237,Weapon Type,Rifle,10.21
3488,372,febc84bcf096a59b96b19b41df7ab252,Attack,12,16.48,Blade,Halberd,1.60,Category,Bladed,50.00,Color Scheme,Dark Camo,5.21,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Tusk,4.52,Pomel,Goldberg,9.00,Weapon Type,Axe,13.57,144.6898862449885,,,
8976,373,2dd7b9ee76960b90dba2d9f754bc6179,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Striped,5.23,Defense,7,7.57,Energy Type,HyperLight,20.07,Grip,Widow,7.87,Weapon Type,Sidearm,16.94,97.59123153772583,,,
2523,374,69f4e1225797af21eaca93c03b38bb38,Attack,12,16.48,Barrel,Brute - Rifle,2.10,Cartridge,Reactor,5.05,Category,Firearm,50.00,Color Scheme,Dark Camo,5.21,Defense,10,22.66,Energy Type,AntiMatter,13.39,Grip,Serrated,4.85,Stock,Compact,4.30,160.23285945782953,Weapon Type,Rifle,10.21
9803,375,e37e6eb97f597bcd20c42492aff17e94,Attack,11,26.75,Barrel,Ironside - Sidearm,4.39,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Tech Panels,5.19,Defense,8,22.62,Energy Type,AntiMatter,13.39,Grip,Hollow Glow,8.05,Weapon Type,Sidearm,16.94,88.35182500202151,,,
6379,376,0c57c05c8275c6bf3b3cabd9404ab3f8,Attack,10,28.78,Barrel,Ironside - SMG,3.94,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Carbon Fiber,5.28,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Grip,Sheared,6.10,Stock,Marksman,3.64,115.73505156793486,Weapon Type,SMG,15.81
8131,377,6fb2be3860caf4a47cb98a10fde6adc1,Attack,11,26.75,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Army Green,5.81,Defense,10,22.66,Energy Type,Helios - Charged,10.13,Handle,Conical,7.86,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,103.13723871438879,,,
688,378,d56b21460e28de2d76e1e92526daa778,Attack,13,7.36,Barrel,Ironside - Rifle,2.31,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Silver Panels,3.76,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Coffin,0.99,Stock,Shock Absorber,3.64,243.61676913844855,Weapon Type,Rifle,10.21
8022,379,47843530e7a3c8479ccbc0cf1bfe0ea9,Attack,10,28.78,Barrel,Warhawk - Sidearm,4.45,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Luminescent,3.61,Defense,7,7.57,Energy Type,HyperLight - Focused,15.74,Grip,Hollow Glow,8.05,Weapon Type,Sidearm,16.94,103.88817092671755,,,
9264,380,03361e1e01094135a313f8819031cd87,Attack,9,14.61,Blade,Rose Thorn,3.05,Category,Bladed,50.00,Color Scheme,Ivory,6.16,Defense,9,30.42,Energy Type,HyperLight,20.07,Handle,Caged,7.89,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,95.75737734574318,,,
5911,381,13182638aa1862fddd6ce35f05a4af4f,Attack,9,14.61,Barrel,Warhawk - SMG,4.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Carbon Fiber,5.28,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Recurved,4.07,Stock,Compact,4.30,119.68101844644356,Weapon Type,SMG,15.81
6806,382,5b20edd0ea65f43ff19a2e84ceba8e24,Attack,10,28.78,Blade,Ripper,3.22,Category,Bladed,50.00,Color Scheme,Striped,5.23,Defense,9,30.42,Energy Type,AntiMatter,13.39,Handle,Bolstered,3.60,Pomel,Orical,7.42,Weapon Type,Knife,20.23,112.60458600914818,,,
774,383,4d16525a1340f5fff1f658b9cb7ed1df,Attack,10,28.78,Blade,Battle Axe,2.96,Category,Bladed,50.00,Color Scheme,Gold,0.64,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Handle,Conical,7.86,Pomel,Goldberg,9.00,Weapon Type,Axe,13.57,237.4854797684985,,,
9682,384,fbf7755dc71b6b965ce1beb525f98f53,Attack,10,28.78,Barrel,Warhawk - Sidearm,4.45,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Ivory,6.16,Defense,7,7.57,Energy Type,Helios,19.63,Grip,Hollow Glow,8.05,Weapon Type,Sidearm,16.94,91.16210948791479,,,
5503,385,3da97ba64df74ae919600f068a0d8d7b,Attack,11,26.75,Barrel,Ironside - SMG,3.94,Cartridge,Reactor,5.05,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Grip,Hollow Glow,8.05,Stock,Marksman,3.64,123.28320832245231,Weapon Type,SMG,15.81
7229,386,84b21ecf901bea439648118ce6e49592,Attack,10,28.78,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,7,7.57,Energy Type,Helios,19.63,Handle,Charged,5.52,Pomel,Link,9.40,Weapon Type,Axe,13.57,109.61097966577033,,,
8387,387,8b083ac2305d4bbc79fe92e663b109c4,Attack,10,28.78,Blade,Battle Axe,2.96,Category,Bladed,50.00,Color Scheme,Dark Camo,5.21,Defense,8,22.62,Energy Type,HyperLight,20.07,Handle,Caged,7.89,Pomel,Orical,7.42,Weapon Type,Axe,13.57,101.37626137449219,,,
8833,388,f77f984cff2aef6d41244f93e62bdd6c,Attack,9,14.61,Blade,Hollow Point,3.42,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,8,22.62,Energy Type,Helios,19.63,Handle,Charged,5.52,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,98.411432222271,,,
6880,389,6e24c73c5b2d694faa95debb91412492,Attack,9,14.61,Blade,Maco,2.79,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,9,30.42,Energy Type,HyperLight,20.07,Handle,Bolstered,3.60,Pomel,Link,9.40,Weapon Type,Knife,20.23,112.06405376889393,,,
7545,390,5074bb574ed48318bccc4310b059807c,Attack,9,14.61,Barrel,Warhawk - SMG,4.30,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Grip,Widow,7.87,Stock,Compact,4.30,107.13070723231912,Weapon Type,SMG,15.81
3598,391,fee4d0367f9ce436bcd2563b8a7d1b37,Attack,10,28.78,Blade,Hollow Point,3.42,Category,Bladed,50.00,Color Scheme,Luminescent,3.61,Defense,9,30.42,Energy Type,Helios - Charged,10.13,Handle,Ladder Grip,8.14,Pomel,Gyroscope,1.98,Weapon Type,Knife,20.23,143.3074280838172,,,
838,392,e552a82709de54d0ff38f7e4221f9c2d,Attack,12,16.48,Blade,Crown's Enforcer,0.60,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Handle,Caged,7.89,Pomel,Goldberg,9.00,Weapon Type,Axe,13.57,231.27778955794344,,,
6477,393,a15a09bae6bbee7252d1c21a16585c4a,Attack,10,28.78,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Damascus,2.92,Defense,9,30.42,Energy Type,AntiMatter,13.39,Handle,Encased,7.95,Pomel,Spiral,7.28,Weapon Type,Axe,13.57,114.93008899608581,,,
1701,394,b90911e4c269c854c3583c5c6edb529b,Attack,11,26.75,Blade,Broad Sword,1.49,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,10,22.66,Energy Type,HyperLight,20.07,Handle,Helix,2.05,Pomel,Beacon,3.71,Weapon Type,Sword,16.20,183.42336336325926,,,
1290,395,92bb1e957b3ab55bc2e27ecebed0cd82,Attack,13,7.36,Barrel,Brute - Rifle,2.10,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Midnight Blue,6.35,Defense,10,22.66,Energy Type,AntiMatter - Dark,5.73,Grip,Hollow Glow,8.05,Stock,Torus,1.50,200.05441836677127,Weapon Type,Rifle,10.21
9054,396,4326e9afe83166fef71ad9e03682423e,Attack,12,16.48,Barrel,Ironside - Sidearm,4.39,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Midnight Blue,6.35,Defense,10,22.66,Energy Type,Valorite - Concentrated,5.15,Grip,Arch,7.06,Weapon Type,Sidearm,16.94,97.09372807132358,,,
1287,397,3bd6e2d3180917c1ecc9d6a0f3ff2e37,Attack,12,16.48,Blade,Straight Edge,3.31,Category,Bladed,50.00,Color Scheme,Damascus,2.92,Defense,11,11.74,Energy Type,Valorite,10.09,Handle,Encrusted,1.47,Pomel,Omni,2.85,Weapon Type,Sword,16.20,200.24247689773318,,,
3845,398,3f0e0af63cb1d7c2d4cb8e4f98eb2a7c,Attack,12,16.48,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Silver Panels,3.76,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Charged,5.52,Pomel,Omni,2.85,Weapon Type,Axe,13.57,140.32966014042955,,,
8254,399,496c7ead723ab179cbe4d3ed7b9e6097,Attack,10,28.78,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Army Green,5.81,Defense,7,7.57,Energy Type,Helios,19.63,Handle,Encased,7.95,Pomel,Link,9.40,Weapon Type,Axe,13.57,102.34596400828404,,,
4507,400,fa12fec2e0e9e505190f1b69c072de7b,Attack,10,28.78,Barrel,Warhawk - Sidearm,4.45,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Gold Plated,2.22,Defense,7,7.57,Energy Type,HyperLight - Focused,15.74,Grip,Recurved,4.07,Weapon Type,Sidearm,16.94,133.3800492684092,,,
1402,401,190831ceef6d40140ef827d5df25cca7,Attack,12,16.48,Blade,Battle Axe,2.96,Category,Bladed,50.00,Color Scheme,Sandstorm,5.70,Defense,10,22.66,Energy Type,AntiMatter,13.39,Handle,Chamber,0.97,Pomel,Orical,7.42,Weapon Type,Axe,13.57,195.21599637038446,,,
6970,402,fb44c018f8cbc12bd5072fca2fd6ab92,Attack,10,28.78,Blade,Ripper,3.22,Category,Bladed,50.00,Color Scheme,Sandstorm,5.70,Defense,11,11.74,Energy Type,AntiMatter - Dark,5.73,Handle,Caged,7.89,Pomel,Spiral,7.28,Weapon Type,Knife,20.23,111.39797867598475,,,
5460,403,c56716ad69757433ed9f24779330f7aa,Attack,9,14.61,Barrel,Brute - SMG,3.74,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Hex Tile,3.90,Defense,10,22.66,Energy Type,HyperLight,20.07,Grip,Widow,7.87,Stock,Marksman,3.64,123.72402275808362,Weapon Type,SMG,15.81
3129,404,2ba379e7c83a083ea03ebd5c52333bcd,Attack,10,28.78,Barrel,Ironside - SMG,3.94,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Carbon Fiber,5.28,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Hollow Glow,8.05,Stock,Torus,1.50,149.6991117399322,Weapon Type,SMG,15.81
1192,405,a77bc4c1dd241ba9cf39e310d2967736,Attack,12,16.48,Barrel,Rampage,1.10,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched White Paint,5.66,Defense,12,4.18,Energy Type,AntiMatter - Dark,5.73,Grip,Sheared,6.10,Stock,Circut,5.08,205.39906561456309,Weapon Type,SMG,15.81
142,406,e288b0ae9e8fb7ef9130adf269a1d390,Attack,13,7.36,Barrel,Hyper Rail,0.44,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Striped,5.23,Defense,12,4.18,Energy Type,HyperLight - Focused,15.74,Grip,Flintlock,2.02,Weapon Type,Blaster,7.04,362.56698382963566,,,
1803,407,d0c07bfaca7fe9624c27695977534820,Attack,12,16.48,Barrel,Trinity,1.19,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Rubber,4.31,Defense,9,30.42,Energy Type,HyperLight,20.07,Grip,Sheared,6.10,Stock,Fixed Hollow,5.03,179.99374727214118,Weapon Type,Rifle,10.21
8321,408,ad359e46b4d72c8893dc941ff2676fe0,Attack,11,26.75,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Handle,Encased,7.95,Pomel,Spiral,7.28,Weapon Type,Knife,20.23,101.8081807070168,,,
5831,409,1c827a6719a7519f240559a45fddf860,Attack,10,28.78,Blade,Straight Edge,3.31,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,10,22.66,Energy Type,AntiMatter,13.39,Handle,Caged,7.89,Pomel,Omni,2.85,Weapon Type,Sword,16.20,120.44166205999653,,,
7433,410,7be51cc37f9f1b5a157352ea303e3e39,Attack,11,26.75,Blade,Breaker,3.11,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,11,11.74,Energy Type,Valorite,10.09,Handle,Conical,7.86,Pomel,Orical,7.42,Weapon Type,Sword,16.20,107.96174643335443,,,
2455,411,76de6a1821b66b2d430794042aa51135,Attack,12,16.48,Barrel,Ironside - Blaster,1.76,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Light Camo,5.36,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Grip,Flintlock,2.02,Weapon Type,Blaster,7.04,161.86803086094164,,,
1430,412,e409f809858a2fd6d359ac17ffbe2c9b,Attack,12,16.48,Blade,Guillotine,1.58,Category,Bladed,50.00,Color Scheme,Silver Panels,3.76,Defense,10,22.66,Energy Type,HyperLight - Focused,15.74,Handle,Bolstered,3.60,Pomel,Gyroscope,1.98,Weapon Type,Axe,13.57,194.37317294475528,,,
7896,413,3e47cd5d24d3dc09f4266b83ef1e7ffe,Attack,10,28.78,Blade,Ripper,3.22,Category,Bladed,50.00,Color Scheme,Hex Tile,3.90,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Encased,7.95,Pomel,Link,9.40,Weapon Type,Knife,20.23,104.65549482258889,,,
4579,414,e33f3d93be7e394166d310ad38cbd885,Attack,10,28.78,Barrel,Brute - SMG,3.74,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Luminescent,3.61,Defense,11,11.74,Energy Type,AntiMatter,13.39,Grip,Serrated,4.85,Stock,Compact,4.30,132.69972297196858,Weapon Type,SMG,15.81
4780,415,069766524c022a6219de596f6ca18544,Attack,11,26.75,Blade,Maco,2.79,Category,Bladed,50.00,Color Scheme,Damascus,2.92,Defense,11,11.74,Energy Type,AntiMatter - Dark,5.73,Handle,Caged,7.89,Pomel,Goldberg,9.00,Weapon Type,Knife,20.23,130.52561762356856,,,
2347,416,2aaddf80b08d83579e31e83671d77447,Attack,13,7.36,Barrel,Scorpion,1.52,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,9,30.42,Energy Type,AntiMatter,13.39,Grip,Hollow Glow,8.05,Stock,Compact,4.30,164.45811161647978,Weapon Type,Rifle,10.21
4469,417,2e34a40281427d6b658f030b495e3ae1,Attack,12,16.48,Blade,Cyber Edge,1.85,Category,Bladed,50.00,Color Scheme,Scratched White Paint,5.66,Defense,10,22.66,Energy Type,AntiMatter - Dark,5.73,Handle,Caged,7.89,Pomel,Icosa,8.33,Weapon Type,Axe,13.57,133.70319929608948,,,
1789,418,5b13b400248809c0b3d6f7cc947b5ecf,Attack,13,7.36,Barrel,Trinity,1.19,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Ivory,6.16,Defense,10,22.66,Energy Type,AntiMatter,13.39,Grip,Widow,7.87,Stock,Fixed Hollow,5.03,180.46914094105367,Weapon Type,Rifle,10.21
9667,419,56919c67f0ce4c3416be1fc7c6392cdd,Attack,11,26.75,Barrel,Ironside - Sidearm,4.39,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Army Green,5.81,Defense,9,30.42,Energy Type,AntiMatter - Dark,5.73,Grip,Arch,7.06,Weapon Type,Sidearm,16.94,91.51100100479245,,,
9427,420,4ac995227ba5376cb46e63a6737769d4,Attack,10,28.78,Barrel,Warhawk - Sidearm,4.45,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Scratched White Paint,5.66,Defense,8,22.62,Energy Type,AntiMatter,13.39,Grip,Serrated,4.85,Weapon Type,Sidearm,16.94,94.37722748001843,,,
3745,421,6c82e9017af3a66189dc0cc64ed6e3f4,Attack,11,26.75,Blade,Guillotine,1.58,Category,Bladed,50.00,Color Scheme,Tech Lines,3.96,Defense,9,30.42,Energy Type,HyperLight,20.07,Handle,Charged,5.52,Pomel,Orical,7.42,Weapon Type,Axe,13.57,141.5140820013583,,,
1454,422,210f95ad005a4a70e3ff867be57e9516,Attack,13,7.36,Barrel,Front Line,2.13,Cartridge,Reactor,5.05,Category,Firearm,50.00,Color Scheme,Carbon Fiber,5.28,Defense,12,4.18,Energy Type,Valorite,10.09,Grip,Recurved,4.07,Stock,Shock Absorber,3.64,193.47859794975503,Weapon Type,SMG,15.81
6943,423,34c69c45ac11b194305d8bfddd88ee86,Attack,10,28.78,Barrel,Ironside - SMG,3.94,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Grip,Arch,7.06,Stock,Marksman,3.64,111.5601512972989,Weapon Type,SMG,15.81
8120,424,ff6b25b86758fc2aa0f3d6e47b557b82,Attack,10,28.78,Barrel,Brute - Sidearm,3.22,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Tech Panels,5.19,Defense,10,22.66,Energy Type,Helios - Charged,10.13,Grip,Serrated,4.85,Weapon Type,Sidearm,16.94,103.20549398629831,,,
2308,425,06abbd9170d48a2bbe4408b3104e57b0,Attack,12,16.48,Barrel,Trinity,1.19,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched White Paint,5.66,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Hollow Glow,8.05,Stock,Fixed Hollow,5.03,165.22349324498416,Weapon Type,Rifle,10.21
4919,426,a93e539b57d31a7865dddb12c0ae5fad,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Carbon Fiber,5.28,Defense,7,7.57,Energy Type,HyperLight,20.07,Grip,Columnar,2.01,Weapon Type,Sidearm,16.94,129.07808756664886,,,
7857,427,25d2cbbad666d0d408c479127a33d107,Attack,10,28.78,Blade,Breaker,3.11,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,11,11.74,Energy Type,Valorite,10.09,Handle,Ladder Grip,8.14,Pomel,Goldberg,9.00,Weapon Type,Sword,16.20,104.89445197655671,,,
5461,428,d595aa79254c14f02d85caf9a066c168,Attack,11,26.75,Barrel,Warhawk - Blaster,2.20,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rubber,4.31,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Serrated,4.85,Weapon Type,Blaster,7.04,123.70805588840405,,,
6351,429,5095969bc80a12b5e0aad010e212cad4,Attack,10,28.78,Barrel,Ironside - SMG,3.94,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Silver Panels,3.76,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Grip,Widow,7.87,Stock,Compact,4.30,115.9797066500414,Weapon Type,SMG,15.81
5575,430,2c434a6facaae40f5e9c338d706d3951,Attack,10,28.78,Barrel,Warhawk - Rifle,2.58,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Ivory,6.16,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Sheared,6.10,Stock,Fixed Hollow,5.03,122.65233900375807,Weapon Type,Rifle,10.21
6252,431,5e0fcdbc1b532891c39477920f3226ff,Attack,11,26.75,Blade,Battle Axe,2.96,Category,Bladed,50.00,Color Scheme,Army Green,5.81,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Bolstered,3.60,Pomel,Link,9.40,Weapon Type,Axe,13.57,116.8429433476713,,,
1149,432,5d0a989c950d2b6e4914792883625b01,Attack,14,2.42,Blade,Cyber Edge,1.85,Category,Bladed,50.00,Color Scheme,Silver Panels,3.76,Defense,9,30.42,Energy Type,Valorite - Concentrated,5.15,Handle,Bolstered,3.60,Pomel,Beacon,3.71,Weapon Type,Axe,13.57,208.7780519251712,,,
7851,433,457699c5d32430918e6571e08050726f,Attack,9,14.61,Blade,Hollow Point,3.42,Category,Bladed,50.00,Color Scheme,Silver Panels,3.76,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Handle,Encased,7.95,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,104.98081637791307,,,
5239,434,9442b002a1834d1e16d2b59e06256766,Attack,10,28.78,Barrel,Front Line,2.13,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,10,22.66,Energy Type,HyperLight,20.07,Grip,Carved,6.94,Stock,Fixed Hollow,5.03,125.53597420092501,Weapon Type,SMG,15.81
439,435,9eb1ca0782b9d0021e8e114852c540e2,Attack,13,7.36,Blade,Muramasa,0.58,Category,Bladed,50.00,Color Scheme,Silver Panels,3.76,Defense,12,4.18,Energy Type,Valorite,10.09,Handle,Ladder Grip,8.14,Pomel,Orical,7.42,Weapon Type,Sword,16.20,280.365682797112,,,
6048,436,4b5772e7c66cd6c432ff638c49170190,Attack,11,26.75,Barrel,Warhawk - Blaster,2.20,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rusty,5.91,Defense,9,30.42,Energy Type,AntiMatter,13.39,Grip,Serrated,4.85,Weapon Type,Blaster,7.04,118.66713439356931,,,
2483,437,3b652464a478e0dcbb01c34d10cef2ea,Attack,12,16.48,Barrel,Mantis,1.32,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Sandstorm,5.70,Defense,11,11.74,Energy Type,Helios - Charged,10.13,Grip,Serrated,4.85,Weapon Type,Blaster,7.04,161.182714669159,,,
5409,438,8bfb2c1127e11234d0b04c4306d6b53e,Attack,11,26.75,Blade,Halberd,1.60,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,9,30.42,Energy Type,Helios,19.63,Handle,Ladder Grip,8.14,Pomel,Icosa,8.33,Weapon Type,Axe,13.57,124.02691470086455,,,
7814,439,4e4920e5baf86df26d38c9dd2c584530,Attack,10,28.78,Blade,Twin Ultima,2.79,Category,Bladed,50.00,Color Scheme,Ivory,6.16,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Handle,Charged,5.52,Pomel,Spiral,7.28,Weapon Type,Sword,16.20,105.21629170740263,,,
4346,440,f35336c2f4205dea1c600a7a20d0e79c,Attack,10,28.78,Barrel,Warhawk - Rifle,2.58,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Tech Lines,3.96,Defense,7,7.57,Energy Type,Helios,19.63,Grip,Widow,7.87,Stock,Circut,5.08,134.95209682122487,Weapon Type,Rifle,10.21
743,441,eefc6291b5489fbe083df5cb9f287f07,Attack,10,28.78,Blade,Muramasa,0.58,Category,Bladed,50.00,Color Scheme,Sandstorm,5.70,Defense,11,11.74,Energy Type,HyperLight,20.07,Handle,Caged,7.89,Pomel,Icosa,8.33,Weapon Type,Sword,16.20,239.7846491724812,,,
6914,442,c3ee25425efde1739bdea701b0ae9bd3,Attack,10,28.78,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Hex Tile,3.90,Defense,7,7.57,Energy Type,HyperLight - Focused,15.74,Handle,Ladder Grip,8.14,Pomel,Link,9.40,Weapon Type,Axe,13.57,111.74067827106705,,,
